date,card_id,psa10_price,raw_price,psa10_pop,pop_change_30d,sales_7d,sales_30d,lowest_listing,listing_count,raw_psa_spread,APS,ASI
2026-08-09,mega-gengar-ex-240,591.00,,32900,,,,,,,,
2026-08-09,umbreon-ex-217,617.00,,78681,,,,,,,,
2026-08-10,mega-darkrai-ex-114,371.00,,2322,,,,,,,,
2026-08-10,mega-dragonite-ex-246,326.00,,25593,,,,,,,,
2026-08-10,mega-gengar-ex-240,589.00,,32984,,,,,,,,
2026-08-10,pikachu-ex-234,414.00,,30528,,,,,,,,
2026-08-10,rockets-mewtwo-ex-237,228.00,,18160,,,,,,,,
2026-08-10,umbreon-ex-217,607.00,,78703,,,,,,,,
2026-08-11,ancient-mew,2674.00,,3888,,,,,,,,
2026-08-11,arceus-vstar-262,211.00,,24338,,,,,,,,
2026-08-11,charizard-ex-134,406.00,,19832,,,,,,,,
2026-08-11,charizard-ex-201,630.00,,37451,,,,,,,,
2026-08-11,charizard-ex-349,380.00,,24316,,,,,,,,
2026-08-11,charizard-ex-sir-199,1521.00,,28239,,,,,,,,
2026-08-11,charizard-holo-004,11640.00,,486,,,,,,,,
2026-08-11,charizard-v-050,86.00,,50797,,,,,,,,
2026-08-11,eevee-svp-173,134.00,,30742,,,,,,,,
2026-08-11,giratina-v-111,1898.00,,13566,,,,,,,,
2026-08-11,giratina-vstar-261,327.00,,29671,,,,,,,,
2026-08-11,mega-charizard-x-ex-110,1042.00,,49129,,,,,,,,
2026-08-11,mega-darkrai-ex-114,371.00,,2322,,,,,,,,
2026-08-11,mega-dragonite-ex-246,326.00,,25593,,,,,,,,
2026-08-11,mega-gengar-ex-240,589.00,,32984,,,,,,,,
2026-08-11,mew-ex-347,841.00,,26245,,,,,,,,
2026-08-11,moltres-zapdos-articuno-gx-sm210,418.00,,42026,,,,,,,,
2026-08-11,pikachu-ex-234,414.00,,30528,,,,,,,,
2026-08-11,pikachu-ex-764,2250.00,,6120,,,,,,,,
2026-08-11,pikachu-grey-felt-hat-085,2789.00,,47968,,,,,,,,
2026-08-11,pikachu-mcdonalds-020,86.00,,281276,,,,,,,,
2026-08-11,pikachu-sv-promo-001,104.00,,74721,,,,,,,,
2026-08-11,rayquaza-vmax-083,6591.00,,2494,,,,,,,,
2026-08-11,rockets-giovanni-270,78.00,,3212,,,,,,,,
2026-08-11,rockets-mewtwo-ex-237,238.00,,18160,,,,,,,,
2026-08-11,umbreon-ex-217,607.00,,78703,,,,,,,,
